ISO,COUNTRY,USG_DFSCORE,USG_PRESENCE,USG_PRESENCE_SOURCE,USG_TROOP_NUMBERS,USG_TROOP_NUMBERS_SOURCE,USG_COST,USG_COST_SOURCE,USG_TROOP_CASUALTIES,USG_TROOP_CASUALTIES_SOURCE,USG_ADVERSARY_CASUALTIES,USG_ADVERSARY_CASUALTIES_SOURCE,USG_CIVILIAN_CASUALTIES,USG_CIVILIAN_CASUALTIES_SOURCE,BIJ_DFSCORE,BIJ_PRESENCE,BIJ_PRESENCE_SOURCE,BIJ_TROOP_NUMBERS,BIJ_TROOP_NUMBERS_SOURCE,BIJ_COST,BIJ_COST_SOURCE,BIJ_TROOP_CASUALTIES,BIJ_TROOP_CASUALTIES_SOURCE,BIJ_ADVERSARY_CASUALTIES,BIJ_ADVERSARY_CASUALTIES_SOURCE,BIJ_CIVILIAN_CASUALTIES,BIJ_CIVILIAN_CASUALTIES_SOURCE,NEW_AMERICA_DFSCORE,NEW_AMERICA_PRESENCE,NEW_AMERICA_PRESENCE_SOURCE,NEW_AMERICA_TROOP_NUMBERS,NEW_AMERICA_TROOP_NUMBERS_SOURCE,NEW_AMERICA_COST,NEW_AMERICA_COST_SOURCE,NEW_AMERICA_TROOP_CASUALTIES,NEW_AMERICA_TROOP_CASUALTIES_SOURCE,NEW_AMERICA_ADVERSARY_CASUALTIES,NEW_AMERICA_ADVERSARY_CASUALTIES_SOURCE,NEW_AMERICA_CIVILIAN_CASUALTIES,NEW_AMERICA_CIVILIAN_CASUALTIES_SOURCE,GENEVA_DFSCORE,GENEVA_PRESENCE,GENEVA_PRESENCE_SOURCE,GENEVA_TROOP_NUMBERS,GENEVA_TROOP_NUMBERS_SOURCE,GENEVA_COST,GENEVA_COST_SOURCE,GENEVA_TROOP_CASUALTIES,GENEVA_TROOP_CASUALTIES_SOURCE,GENEVA_ADVERSARY_CASUALTIES,GENEVA_ADVERSARY_CASUALTIES_SOURCE,GENEVA_CIVILIAN_CASUALTIES,GENEVA_CIVILIAN_CASUALTIES_SOURCE
JPN,Japan,,1,,53895,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
KAZ,Kazakhstan,,1,,20,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
KEN,Kenya,,1,,47,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
KGZ,Kyrgyzstan,,1,,2,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
KHM,Cambodia,,1,,4,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
KIR,Kiribati,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
KNA,Saint Kitts and Nevis,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
KOR,South Korea,,1,,26111,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
KWT,Kuwait,,1,,1883,DOD Defense Manpower Center,,,4,https://dcas.dmdc.osd.mil/dcas/pages/report_oir_namesalp.xhtml,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
LAO,Laos,,1,,5,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
LBN,Lebanon,,1,,19,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
LBR,Liberia,,1,,5,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
LBY,Libya,,1,,7,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,1,https://www.newamerica.org/in-depth/americas-counterterrorism-wars/airstrikes-and-civilian-casualties-libya/,,,,,,,127,https://www.newamerica.org/in-depth/americas-counterterrorism-wars/airstrikes-and-civilian-casualties-libya/,2,https://www.newamerica.org/in-depth/americas-counterterrorism-wars/airstrikes-and-civilian-casualties-libya/,,1,https://www.geneva-academy.ch/joomlatools-files/docman-files/The%20War%20Report%20Armed%20Conflicts%20in%202017.pdf,,,,,,,,,,
LCA,Saint Lucia,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
LIE,Liechtenstein,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
LKA,Sri Lanka,,1,,5,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
